,name,dosage_form,dose,atc_code,scope,dose_form,strength_size
1157,Potassium chloride,,,,Kenya,Tablet (e/r),600mg
1158,Rehydration solution for malnutrition (ReSoMal),,,,Kenya,PFOL (to make 1L),Sachet (42g) (WHO formula)
1159,Sevelamer,,,,Kenya,Tablet,400mg
1161,Sodium acid phosphate,,,,Kenya,Tablets (effervescent),1.936g (equiv. to phosphorus 500mg)
1163,Sodium polystyrene sulphonate,,,,Kenya,Powder,450g
1164,Sodium hydrogen carbonate (Sodium bicarbonate)562,,,,Kenya,Tablet,1g
1165,Tolvaptan,,,,Kenya,Tablet,15mg
1166,Glucose,,,,Kenya,Injectable solution,5% (isotonic) (500mL infusion pack)
1169,Glucose + Sodium chloride,,,,Kenya,Injectable solution,5% + 0.9% [c]
1170,Potassium acid phosphate,,,,Kenya,Injection,13.6% w/v sterile aqueous solution
1178,Sodium hydrogen carbonate (Sodium bicarbonate),,,,Kenya,Injectable solution,8.4% (10mL amp)571
1179,Sodium lactate compound (Hartmann’s /Ringers lactate),,,,Kenya,Injectable solution (infusion),BP formula (500mL)572
1180,Water for injection,,,,Kenya,Injection,10mL amp
1181,Ascorbic acid (Vit C)573,,,,Kenya,Tablet,50mg
1184,Calcitriol (Vit D3)574,,,,Kenya,Capsule,250 micrograms
1189,Cholecalciferol (Vit D3),,,,Kenya,Oral liquid (drops)576,400 IU/mL [c]
1191,Ergocalciferol (Vit D2)578,,,,Kenya,Oral liquid,"250 micrograms (10,000 IU)/mL"
1194,Niacinamide,,,,Kenya,Tablet,500mg
1195,Omega 3 fatty acids,,,,Kenya,Tablet / Capsule,1g
1197,Pyridoxine (Vit B6),,,,Kenya,Tablet,25mg (as HCl)581
1199,Retinol (Vit A),,,,Kenya,Capsule,"50,000 IU (as palmitate)"
1202,Thiamine (Vit B1)583,,,,Kenya,Tablet,50mg (as HCl)
1203,Vitamins & Minerals Mix,,,,Kenya,Powder,1g sachet [c]
1204,Vitamin B12 (Cobalamin),,,,Kenya,Tablet,500 micrograms
1206,Zinc sulphate,,,,Kenya,Tablet (dispersible),20mg
1207,Amino acids,,,,Kenya,Solution for IV infusion,21g amino acid + 12g glutamine per 100mL bottle587
1212,Combined amino acid and glucose formulation for central administration-two chamber bag for central admnistration,,,,Kenya,Solution for IV infusion,1 litre
1213,"Combined amino acid, glucose and lipids with medium chain Triglycerides (MCT) / Long chain Triglycerides (LCT) - Three Chamber Bag For Central Administration",,,,Kenya,Solution for IV infusion,1 litre
1215,"Combined amino acid, glucose, and lipids with medium chain Triglycerides (MCT) + Long chain Triglycerides (LCT) - three chamber bag for peripherial administration",,,,Kenya,Solution for IV infusion,500mL
1219,Fat (lipid)595,,,,Kenya,Infusion (emulsion) (IV),20% (100mL) [c]
1221,Fat-soluble vitamins,,,,Kenya,"Solution for IV infusion, for infants and children",10mL [c]
1223,Trace elements,,,,Kenya,"Solution for IV infusion, Adult",10mL
1225,Water-soluble vitamins Containing Vitamin C and B-complex,,,,Kenya,Solution for IV infusion,10mL
1226,High energy protein fat-free hydrolyzed feed,,,,Kenya,Liquid,200mL
1227,Nutritionally complete elemental hepatic formula with MCT for oral / tube feeding,,,,Kenya,Liquid,200mL
1229,Nutritionally complete glutamine-enriched liquid formula,,,,Kenya,Liquid,500mL
1230,"Nutritionally complete High energy, high protein oral / tube feed",,,,Kenya,Liquid,200mL
1232,Nutritionally complete hydrolysed feeds with MCT fibre-free,,,,Kenya,Liquid,500mL
1233,Nutritionally complete hypercaloric liquid formula feed,,,,Kenya,Liquid,500mL
1234,"Nutritionally complete, hypocaloric oral / tube feed liquid diet with fibre",,,,Kenya,Liquid,200mL
1236,Nutritionally complete isocaloric liquid diet with fibre for oral / tube feeding,,,,Kenya,Liquid,200mL
1239,Nutritionally complete isocaloric liquid diet fibre- free for oral / tube feeding,,,,Kenya,Liquid,200mL
1242,Nutritionally complete Iso- caloric paediatric liquid diet for oral / tube feeding,,,,Kenya,Liquid,200mL
1244,Nutritionally complete liquid low sodium formula,,,,Kenya,Liquid,500mL
1245,Nutritionally complete semi- elemental peptide-based formula for oral / tube feed,,,,Kenya,Liquid,200mL
1247,Adult nutritionally complete isocaloric formula,,,,Kenya,Powder,400g
1248,Adult nutritionally complete elemental peptide formula,,,,Kenya,Powder,20 to 30g sachet
1249,Amino acids and Vitamin granules,,,,Kenya,Powder,5 to 10g sachet
1250,"High calorie, high protein formula",,,,Kenya,Powder,200g
1252,Hepatic formula rich in BCAA,,,,Kenya,Powder,200g to 500g
1254,Nutritionally complete low glycaemic index formula,,,,Kenya,Powder,50g sachet
1255,Paediatric nutritionally complete isocaloric formula,,,,Kenya,Powder,400g [c]
1256,Paediatric nutritionally complete peptide-based formula,,,,Kenya,Powder,400g [c]
1257,Specialized Renal formula,,,,Kenya,Powder,400g
1258,Specialized Semi-elemental peptide formula,,,,Kenya,Powder,400g
1259,Fortified Blended Food (FBF),,,,Kenya,Flour,415kcal/100g (Sachet)623
1263,Ready to use supplemental food (RUSF)627,,,,Kenya,Oral paste / bar / liquid / powder,Standard formula (minimum 350 Kcal/100g)
1264,Ready to use therapeutic food (RUTF)628,,,,Kenya,Oral paste / bar / liquid / powder,Standard formula (minimum 500 Kcal/100g)
1265,Therapeutic diet feed (F-75)629,,,,Kenya,PFOL (for approx. 600mL),Standard formula (102.5g sachet)
1267,Therapeutic diet feed (F-100)630,,,,Kenya,PFOL (for approx. 600mL),Standard formula (114g sachet)
1269,Technetium Tc- 99m (99m Tc) Succimer (Technetium Tc-99m Dimercaptosuccinic Acid (DMSA)631,,,,Kenya,"Injection, prepared from a non-radioactive succimer kit for radiolabelling with 99mTc prior to administration",
1270,Hexamethyl propylene amine oxime (HMPAO) (Technetium- 99m exametazime)632,,,,Kenya,"Injection, prepared from a non- radioactive exametazine kit for radiolabelling with 99mTc prior to administration",
1271,Iodine -123 (sodium iodide)633,,,,Kenya,Capsule (Oral),3.7MBq (100uCi)
1274,Iodine 131(sodium iodide)634,,,,Kenya,Capsule (Oral),0.33 MBq (9uCi)
1279,Mercaptoacetyltriglycine (MAG3) (Technetium -99m mertiatide)635,,,,Kenya,"Injection, prepared from a non-radioactive betiatide kit for radiolabelling with 99mTc prior to administration",
1280,Methylene diphosphonate (MDP) (Technetium -99m medronate)636,,,,Kenya,"Injection, prepared from a non-radioactive medronate kit for radiolabeling with 99mTc prior to administration",
1281,Molybdenum-99 / Technetium-99m radionuclide generator,,,,Kenya,Radionuclide generator,"1, 2, 2.5, 3, 4, 4.5, 5, 6, 7.5, 10, 12.5, 15, 18, 20 Ci of 99Mo"
1282,Sesta methoxyisobutylisonitrile (sestamibi) (Technetium -99m Sestamibi)638,,,,Kenya,"Injection, prepared from a non-radioactive sestamibi kit for radiolabeling with 99mTc prior to administration",
1283,Technetium - 99m disofenin (DISIDA)639,,,,Kenya,"Injection, prepared from a non-radioactive disofenin kit for radiolabelling with 99mTc prior to administration",
1284,Technetium - 99m leucocytes,,,,Kenya,Injection,
1285,Technetium - 99m mebrofenin (BRIDA)641,,,,Kenya,"Injection, prepared from a non-radioactive mebrofenin kit for radiolabelling with 99mTc prior to administration",
1286,Technetium-99m pentetate (DTPA)642,,,,Kenya,"Injection, Inhalation, prepared from a non-radioactive pentetate kit for radiolabelling with 99mTc prior to administration",
1287,Technetium-99m sodium pertechnetate,,,,Kenya,"Injection, eluted from approved 99Mo/99mTc radionuclide generator",
1289,[Fluorine-18] Prostate Specific Membrane Antigen (PSMA) 1007,,,,Kenya,,
1290,Fluorodeoxyglucose (FDG) (Fluorine -18),,,,Kenya,Injection,0.74 – 11.1 GBq (20 – 300 mCi/mL)
1291,Gallium-68 oxodotreotide (dotatate),,,,Kenya,Injection,40 micrograms of oxodotreotide kit for radiolabeling with up to 1110 MBq (30 mCi) of [68Ga]GaCl2
1292,Germanium-68 - Gallium-68 radionuclide generator,,,,Kenya,Radionuclide generator,0.74 – 1.85 GBq
1293,[Iodine-131] sodium iodide,,,,Kenya,Oral solution,5 mCi/mL
1295,Lutetium-177 oxodotreotide (dotatate),,,,Kenya,Injection,370 MBq/mL (10 mCi/mL)
0,amikacine,injectable,500mg,,Senegal,,
1,amoxicilline,gélule,500mg,,Senegal,,
3,amoxicillicine,comprimé dispersible,250mg,,Senegal,,
5,amoxicilline+acide clavulanique,sachet,"500mg/62,5mg",,Senegal,,
7,ampicilline,injectable,1g,,Senegal,,
8,azithromycine,comprimé,500mg,,Senegal,,
9,benzathine -benzylpénicilline,injectable,"2,4mui",,Senegal,,
10,benzathine-benzylpénicilline,injectable,"1,2mui",,Senegal,,
11,benzylpénicilline,injectable,1mui,,Senegal,,
12,céfazoline,injectable,1g,,Senegal,,
13,céfixime,comprimé,200mg,,Senegal,,
15,céfotaxime,injectable,1 g,,Senegal,,
16,ceftriaxone,injectable,1g,,Senegal,,
17,ciprofloxacine,comprimé,250mg,,Senegal,,
21,doxycycline,comprimé,100mg,,Senegal,,
22,erythromycine,comprimé,500mg,,Senegal,,
23,gentamicine,injectable,80mg/2ml,,Senegal,,
24,oxacilline,injectable,1g,,Senegal,,
25,flucloxacilline,suspension buvable,250mg/5ml,,Senegal,,
28,imipénèmes,injectable,500mg,,Senegal,,
29,phénoxyméthylpénicilline,comprimé,1000000 ui,,Senegal,,
30,sulfaméthoxazole + triméthoprime,comprimé,400mg/80mg,,Senegal,,
33,vancomycine,injectable,500mg,,Senegal,,
34,thiamphénicol,injectable,750mg,,Senegal,,
35,imipéneme +cilastatine,injectable,500mg/500mg,,Senegal,,
36,amoxicilline + acide clavulanique,sirop,"100 mg / 12,5 mg / ml",,Senegal,,
38,céfuroxime,injectable,750mg,,Senegal,,
39,cyclosérine,comprimé,250mg,,Senegal,,
40,ethambutol,comprimé,400mg,,Senegal,,
41,ethionamide,comprimé,250mg,,Senegal,,
42,isoniazide,comprimé,300mg,,Senegal,,
43,lévofloxacine,comprimé,250mg,,Senegal,,
44,pyrazinamide,comprimé,400mg,,Senegal,,
45,clofazimine,comprimé,100mg,,Senegal,,
46,rifampicine/isoniazide/pyrazinam ide,comp.disp,75/50/150 mg,,Senegal,,
47,rifampicine/isoniazide,comp.disp,75/50 mg,,Senegal,,
48,bédaquiline,comprimé,100 mg,,Senegal,,
49,linézolide,comprimé,600 mg,,Senegal,,
50,pyridoxine,comprimé,100mg,,Senegal,,
51,delamanid,comprimé dispersible,50mg,,Senegal,,
60,rifapentine+isoniazide,comprimé,(300/300)mg,,Senegal,,
61,rifampicine/isoniazide/pyrazinam ide/ethambutol,comprimé,150mg/75mg/4 00mg/275mg,,Senegal,,
67,dapsone,comprimé,100mg,,Senegal,,
68,rifampicine,gélule,300mg,,Senegal,,
69,artésunate/amodiaquine,comprimé,"25 mg/67,5mg; b/3cp",,Senegal,,
73,artéméther/luméfantrine,comprimé,20mg/120mg; b18cp,,Senegal,,
75,artémèther/luméfantrine,comprimé,80mg/480mg,,Senegal,,
77,dihydroartémisinine/pipéraquine,comprimé,40mg/320mg; b/9cp,,Senegal,,
78,artésunate,injectable,30mg/ml,,Senegal,,
80,artéméther,injectable,80mg/ml,,Senegal,,
81,artesunate,suppositoire,100mg,,Senegal,,
82,sulfadoxine + pyriméthamine,comprimé,500mg/25mg,,Senegal,,
83,sulfadoxine/pyriméthamine + amodiaquine,comprimé,500mg/25mg + 153mg,,Senegal,,
85,quinine,injectable,400mg,,Senegal,,
86,primaquine,comprimé,"7,5 mg",,Senegal,,
87,métronidazole,comprimé,500mg,,Senegal,,
92,amphotéricine b liposomale,injectable,50mg,,Senegal,,
93,amphotéricine b,comprimé,250mg,,Senegal,,
95,fluconazole,comprimé,100mg,,Senegal,,
98,griséofulvine,comprimé,250mg,,Senegal,,
100,kétoconazole,comprimé,200mg,,Senegal,,
101,nystatine,comprimé gynécologique,100.000ui,,Senegal,,
102,terbinafine,comprimé,250mg,,Senegal,,
103,albendazole,comprimé,400mg,,Senegal,,
106,mébendazole,comprimé,100mg,,Senegal,,
109,ivermectine,comprimé,3mg,,Senegal,,
110,praziquantel,comprimé,600mg,,Senegal,,
111,aciclovir,comprimé,200mg,,Senegal,,
113,valaciclovir,comprimé,500mg,,Senegal,,
114,ganciclovir,injectable,500mg,,Senegal,,
115,ténofovir,comprimé,300mg,,Senegal,,
116,sofosbuvir,comprimé,400mg,,Senegal,,
117,ténofovir + emtricitabine,comprimé,300mg/200mg,,Senegal,,
118,ténofovir + lamivudine,comprimé,300mg/300mg,,Senegal,,
119,zidovudine + lamivudine,comprimé,60mg/30mg,,Senegal,,
120,zidovudine + lamivudine + abacavir,comprimé,300mg/150mg/ 300mg,,Senegal,,
121,abacavir+lamivudine,comprimé,600mg/300mg,,Senegal,,
124,efavirenz,comprimé,200mg,,Senegal,,
125,atazanavir + ritonavir,comprimé,300mg/100mg,,Senegal,,
126,darunavir,comprimé,600mg,,Senegal,,
127,darunavir + ritonavir,comprimé,400mg/100mg,,Senegal,,
128,lopinavir + ritonavir,comprimé,200mg/50mg,,Senegal,,
132,ritonavir,comprimé,100mg,,Senegal,,
133,ténofovir+emtricitabine+efaviren z,comprimé,300mg/200mg/ 600mg,,Senegal,,
135,ténofovir+lamivudine+efavirenz,comprimé,300mg/300mg/ 600mg,,Senegal,,
137,raltégravir,comprimé,400mg,,Senegal,,
138,dolutégravir,comprimé,50mg,,Senegal,,
140,ténofovir + lamivudine +dolutégravir,comprimé,300mg/300mg/ 50mg,,Senegal,,
141,ténofovir alafenamide +emtricitabine +dolutégravir,comprimé,25mg/200mg/5 0mg,,Senegal,,
142,ténofovir alafenamide +emtricitabine,comprimé,25mg/200mg,,Senegal,,
143,abacavir + lamivudine +dolutégravir,comprimé,600mg/300mg/ 50mg,,Senegal,,
145,isoflurane,inhalation,184.5 g/mol,,Senegal,,
146,sévoflurane,injectable,2mg/ml,,Senegal,,
147,desflurane,inhalation,2mg/ml,,Senegal,,
148,kétamine,injectable,50mg,,Senegal,,
149,propofol,injectable,20mg/ml,,Senegal,,
150,etomidate,injectable,20mg/10ml,,Senegal,,
151,diazépam,injectable,10mg/ml,,Senegal,,
152,midazolam,injectable,5mg/ml,,Senegal,,
154,thiopental,injectable,1g,,Senegal,,
155,dexmedetomidine,injectable,100microgram/ ml,,Senegal,,
156,dropéridol,injectable,"2,5mg/ml",,Senegal,,
157,bupivacaïne hyperbare,injectable,"0,50%",,Senegal,,
158,bupivacaïne isobare,injectable,5mg/1ml,,Senegal,,
159,lidocaïne,injectable,2%,,Senegal,,
162,lidocaïne épinéphrine,injectable,2%,,Senegal,,
163,ropivacaïne,injectable,2mg/ml,,Senegal,,
164,mepivacain,injectable,20mg/ml,,Senegal,,
165,atropine,injectable,"0,25mg",,Senegal,,
168,néostigmine,injectable,"0,5mg/ml",,Senegal,,
169,suxaméthonium ( succinylcholine),injectable,10mg/ml,,Senegal,,
170,rocuronium,injectable,10mg/ml,,Senegal,,
172,vécuronium bromure,injectable,10mg,,Senegal,,
173,atracurium bésilate,injectable,50mg/ml,,Senegal,,
174,fentanyl,injectable,"0,5mg/10mg",,Senegal,,
176,sufentanil,injectable,10µmg/2ml,,Senegal,,
177,morphine chlorhydrate,injectable,10mg,,Senegal,,
178,nalbuphine,injectable,20mg/2ml,,Senegal,,
179,nefopam,injectable,20mg/2ml,,Senegal,,
180,tramadol,injectable,100mg/2ml,,Senegal,,
181,acétylsalicylate de lysine,injectable,"1,8g",,Senegal,,
184,acide acétylsalicylique,comprimé,100mg,,Senegal,,
186,acide méfénamique,comprimé,250mg,,Senegal,,
187,acide niflumique,3% pommade,,,Senegal,,
188,ibuprofène,comprimé,400mg,,Senegal,,
190,indométacine,comprimé,25mg,,Senegal,,
191,kétoprofène,injectable,100mg/2ml,,Senegal,,
192,diclofénac,comprimé,50mg,,Senegal,,
193,paracétamol,comprimé,500mg,,Senegal,,
197,prednisone,comprimé,5mg,,Senegal,,
199,buprénorphine,comprimé perlingual,"0,2mg",,Senegal,,
204,morphine chlorhydrate lp,comprimé,10mg,,Senegal,,
207,morphine,poudre,10mg,,Senegal,,
209,méthadone,gélule,5mg,,Senegal,,
212,cétirizine,comprimé,10mg,,Senegal,,
213,dexaméthasone,injectable,4mg,,Senegal,,
214,dexchlorphéniramine,comprimé,2mg,,Senegal,,
216,hydrocortisone,injectable,500mg,,Senegal,,
218,méthylprednisolone,injectable,40mg/ml,,Senegal,,
219,prométhazine,injectable,50mg/ml,,Senegal,,
221,224 charbon activé solution buvable,solution buvable,12g/60ml,,Senegal,,
222,charbon,comprimé,500mg,,Senegal,,
223,disulfurame,comprimé,500mg,,Senegal,,
224,flumazénil,injectable,"0,5mg/ml",,Senegal,,
225,n-acétylcystéine,injectable,5g/25ml,,Senegal,,
226,naloxone,injectable,"0,4mg/ml",,Senegal,,
227,pralidoxime,injectable,200mg,,Senegal,,
228,edta disodique calcique,injectable,500mg/10ml,,Senegal,,
229,déferoxamine,injectable,500mg,,Senegal,,
230,glucagon,injectable,1mg/ml,,Senegal,,
231,sulfate de protamine,injectable,1000 uah/ml,,Senegal,,
232,intralipide,injectable,20%/250ml,,Senegal,,
233,les concentres de complexe prothrombinique humaine,injectable,25u/ml,,Senegal,,
234,succimer,capsule orale,100mg,,Senegal,,
235,sulfate de magnésium,injectable,20%,,Senegal,,
236,acide valproïque,comprimé,200mg,,Senegal,,
238,valproate de sodium lp,injectable,500mg,,Senegal,,
239,valproate de sodium,solution buvable,200mg/5ml,,Senegal,,
240,amitriptyline,gouttes orales,40mg/ml,,Senegal,,
241,carbamazépine,comprimé,200mg,,Senegal,,
242,chlorpromazine,comprimé,100mg,,Senegal,,
244,clonazépam,gouttes,2mg,,Senegal,,
245,clonazepam,injectable,1mg/ml,,Senegal,,
247,diazepam,injectable,10mg/2ml,,Senegal,,
249,phénytoïne,solution buvable,30mg/5ml,,Senegal,,
251,fluphénazine,injectable,25mg/ml,,Senegal,,
253,halopéridol,"0,50% gouttes orales",,,Senegal,,
255,lévomépromazine,comprimé,100mg,,Senegal,,
257,phénobarbital,comprimé,100mg,,Senegal,,
260,trihexyphénidyle,"0,40% gouttes",,,Senegal,,
262,tropatépine,injectable,10mg/2ml,,Senegal,,
264,acide folique,comprimé,5mg,,Senegal,,
266,chélateurs de fer,comprimé,125mg,,Senegal,,
269,cyanocobalamine,injectable,1mg,,Senegal,,
270,erythropoïétine,injectable,"2000ui/0,5ml",,Senegal,,
274,sels ferreux forme pédiatrique,injectable,50mg/5ml,,Senegal,,
275,epoétine bêta,injectable,"50µg/0,3ml",,Senegal,,
282,fer ferrique,injectable,100mg/2ml,,Senegal,,
283,fer + acide folique,comprimé,"60mg/0,4mg",,Senegal,,
284,sels ferreux forme adulte,comprimé,80mg,,Senegal,,
285,sels ferreux forme adule,injectable,100mg,,Senegal,,
289,etamsylate,comprimé,500mg,,Senegal,,
291,misoprostol,comprimé,200 µg,,Senegal,,
292,acide tranexamique,ampoule buvable,1g,,Senegal,,
295,phytoménadione,solution acqueuse injectable et buvable,"2mg/0,2ml",,Senegal,,
297,fluindione,comprime,20mg,,Senegal,,
298,acénocoumarol,comprimé,4mg,,Senegal,,
300,rivaroxaban,comprimé,10mg,,Senegal,,
301,enoxaparine,injectable,2000 ui anti xa,,Senegal,,
306,héparinate non fractionnée,injectable,250ui/ml,,Senegal,,
307,héparinate de sodium,injectable,25000ui/5ml,,Senegal,,
308,streptokinase,injectable,1.500.000ui,,Senegal,,
309,altéplase,injectable,100mg,,Senegal,,
310,tenecteplase,injectable,10 000 u/10 ml,,Senegal,,
311,clopidogrel,comprimé,75mg,,Senegal,,
312,ticagrelol,comprimé,90mg,,Senegal,,
313,allupurinol,comprimé,100mg,,Senegal,,
315,gélatine fluide modifiée,perfusion,,,Senegal,,
316,concentré de facteur viii,injectable,500ui,,Senegal,,
319,concentré de facteur ix,injectable,500ui,,Senegal,,
321,immunoglobuline anti-d,injectable,250ui,,Senegal,,
323,immunoglobuline polyvalent,injectable,250ui,,Senegal,,
324,facteurs antihémophilliques a et b,injectable,,,Senegal,,
325,hydroxyéthylamidon,perfusion,,,Senegal,,
326,trocard de mallarmé 15 g (aiguille medullograme),,,,Senegal,,
327,trocard de mallarmé 18 g (aiguille medullograme),,,,Senegal,,
328,diltiazem,comprimé,60mg,,Senegal,,
330,dinitrate d’isosorbide,injectable,10mg/10ml,,Senegal,,
332,trinitrate de glycérine,comprimé,"0,15mg",,Senegal,,
333,trinitrate de glycérine nitroglycerine,spray patch,"0,15mg 5mg",,Senegal,,
334,nitroglycerine,patch,10mg,,Senegal,,
335,altizide + spironolactone,comprimé,15mg/25mg,,Senegal,,
336,amlodipine,gélules,10mg,,Senegal,,
338,bisoprolol,comprimé,5mg,,Senegal,,
340,carvedilol,comprimé,"6,5mg",,Senegal,,
342,perindopril,comprime,5mg,,Senegal,,
344,ramipril,comprime,"2,5mg",,Senegal,,
346,valsartan,comprime,80mg,,Senegal,,
348,candésartan,comprime,8mg,,Senegal,,
350,clonidine,injectable,"0,15mg",,Senegal,,
351,furosémide,comprimé,40mg,,Senegal,,
355,hydrochlorothiazide,comprimé,25mg,,Senegal,,
356,indapamide,comprimé,"1,25mg",,Senegal,,
358,méthyldopa,comprimé,250mg,,Senegal,,
360,labétalol,injectable,5mg,,Senegal,,
361,nicardipine,injectable,10mg/10ml,,Senegal,,
364,nifédipine,comprimé,20mg,,Senegal,,
365,propranolol,injectable,5mg/5ml,,Senegal,,
367,spironolactone,comprimé,75mg,,Senegal,,
370,amlodipine/perindopril,comprime,5mg/5mg,,Senegal,,
372,amlodipine/valsartan,comprimé,5mg/80mg,,Senegal,,
374,ramipril/hydrochlorothiazide,comprimé,"5mg/12,5mg",,Senegal,,
376,valsartan/hydrochlorothiazide,comprimé,"80mg/12,5mg",,Senegal,,
378,amlodipine/indapamide,comprimé,"5mg/1,5mg",,Senegal,,
380,amlodipine/indapamide/perindop ril,comprimé,"5mg/1,25mg/5 mg",,Senegal,,
382,amlodipine/valsartan/hydrochlor othiazide,comprimé,"5mg/160mg/12, 5mg",,Senegal,,
385,amiodarone,comprimé,200mg,,Senegal,,
387,digoxine,comprimé,"0,25mg",,Senegal,,
391,dopamine,injectable,200mg/ml,,Senegal,,
392,noradrénaline,injectable,2ml/ml,,Senegal,,
393,dobutamine,injectable,250mg/ml,,Senegal,,
394,epinéphrine,injectable,"0,25mg/ml",,Senegal,,
396,ephédrine,injectable,30mg,,Senegal,,
397,phenylephedrine,injectable,"0,5mg",,Senegal,,
398,"isoprénaline 0,20 mg/1 ml injectable + + isuprel",,,,Senegal,,
399,"alprostadil 0,5mg/1ml injectable + + prostine vr",,,,Senegal,,
400,vérapamil 5 mg/2 ml injectable + + isoptine,,,,Senegal,,
401,atorvastatine,comprimé,10 mg,,Senegal,,
403,rosuvastatine,comprimé,10 mg,,Senegal,,
405,ezetimibe,comprimé,10 mg,,Senegal,,
406,econazole,crème,1%,,Senegal,,
407,griseofulvine,pommade,,,Senegal,,
410,béthamétasone,crème,"0,10%",,Senegal,,
411,clobétasone,crème,"0,05%",,Senegal,,
412,hydrocortison,crème,1%,,Senegal,,
413,mupirocine,2% pommade,,,Senegal,,
414,alcool iodé,solution,,,Senegal,,
415,eosine aqueuse,solution,"0,02",,Senegal,,
416,formaldéhyde,liquide,1g,,Senegal,,
417,hypochlorite de sodium,solution,8°cf,,Senegal,,
418,hypochlorite de sodium + permanganate de potassium,solution,500mg/100ml de cl actif,,Senegal,,
419,polyvidone iodé,solution,10%,,Senegal,,
420,violet de gentiane,poudre,250mg,,Senegal,,
421,chlorhexidine,gel,"7 , 10%",,Senegal,,
422,vaseline,pommade,,,Senegal,,
423,benzoate de benzyle,solution,"12,50%",,Senegal,,
424,vaseline salicylée,pommade,5%,,Senegal,,
426,thiocolchicoside,comprimé,4mg,,Senegal,,
427,ocytocine,injectable,5ui,,Senegal,,
428,carbétocine,injectable,100 mcg/ml,,Senegal,,
429,salbutamol,injectable,"0,5mg",,Senegal,,
432,bétamethasone,injectable,4mg,,Senegal,,
433,cimétidine,injectable,200mg/2ml,,Senegal,,
434,oméprazole,injectable,40 mg,,Senegal,,
437,sels d’aluminium et de magnésium,comprimé,400mg/400mg,,Senegal,,
438,granisétron chlorhydrate,injectable,3mg,,Senegal,,
440,ondasétron,comprimé,8 mg,,Senegal,,
441,métopimazine,suppositoire,5 mg,,Senegal,,
444,lévosulpiride,comprimé,25mg,,Senegal,,
446,lévosulpiride 25mg/ml sirop + + + dislep,,,,Senegal,,
447,anti-infl.+astrigent+anest local,pommade,100g,,Senegal,,
449,phloroglucinol +trimethylphloroglucinol,injectable,"40mg/0,04mg par 4ml",,Senegal,,
451,paraffine liquide,gelée buvable,215g/225g,,Senegal,,
452,lactulose,suspension buvable,10 g,,Senegal,,
454,sels de réhydratation orale faible osmolarité,poudre en sachet,"glucose 13,5g/l ; nacl 2,6g/l; kcl 1,5 g/l, citrate trisodique dihydraté 2,9g/l",,Senegal,,
456,carbocystéine,sirop,5%,,Senegal,,
458,terpine+codéine,comprimé,100mg/5mg,,Senegal,,
459,dextromethorphane,sirop,"1,5mg/ml",,Senegal,,
460,dextromethorphane +phenylephrine,sirop,15 mg / 5 ml,,Senegal,,
461,oxomémazine+guaïfénésine,sirop,"(1,65mg/33,3m g)/ml",,Senegal,,
468,terbutaline,injectable,"0,5mg/ml",,Senegal,,
472,budesonide,nebulisation,"0,5 mg /2ml",,Senegal,,
474,montelukast,comprimé,"5, 10 mg",,Senegal,,
475,propionate fluticasone + salméterol propionate fluticasone + salméterol,diskus diskus,500 mg/50 microns 250 mg/50 microns,,Senegal,,
476,bromure d'ipratropium,nebulisation,"o,5 mg",,Senegal,,
477,citrate de cafeine,injectable,250mg/1ml,,Senegal,,
478,solution antiseptique pour bain de bouche,,,,Senegal,,
479,lidocaïne 2 %,injectable,,,Senegal,,
480,lidocaine 3%,injectable,,,Senegal,,
481,lidocaïne adrénalinée,injectable,,,Senegal,,
482,oxyde de zinc leger,,500g,,Senegal,,
483,pulpéryl,solution,,,Senegal,,
484,carpules d’anesthésie ( articaine),ampoule injectable,,,Senegal,,
485,carpules d’anesthésie (mepivacaine),ampoule injectable,3%,,Senegal,,
486,sérum anti-d,injectable,,,Senegal,,
487,sérum antirabique,injectable,,,Senegal,,
488,sérum antitétanique,injectable,,,Senegal,,
489,sérum antilymphocytaire,injectable,25mg,,Senegal,,
491,sérum antivenimeux polyvalent,injectable,,,Senegal,,
492,vaccin antiamaril,injectable,,,Senegal,,
493,vaccin antihépatite b,injectable,,,Senegal,,
494,"vaccin antiméningo a, c, y, w135",injectable,,,Senegal,,
495,vaccin antiméningo w135,injectable,,,Senegal,,
496,vaccin antipneumococcique,injectable,,,Senegal,,
497,vaccin antipoliomyélitique,injectable,,,Senegal,,
498,vaccin antirabique,injectable,,,Senegal,,
499,vaccin antitétanique,injectable,,,Senegal,,
500,vaccin antituberculeux,injectable,,,Senegal,,
501,vaccin anti-papillomavirus,injectable,,,Senegal,,
502,vaccin anticovid,injectable,,,Senegal,,
503,vaccin pentavalent,injectable,,,Senegal,,
504,bicarbonate de sodium,perfusion,14%o,,Senegal,,
506,chlorure de potassium,perfusion,10%,,Senegal,,
507,chlorure de sodium,perfusion,9%o,,Senegal,,
508,chlorure de calcium,perfusion,,,Senegal,,
509,chlorure de magnésium,perfusion,,,Senegal,,
510,chlorure de sodium (irrigation vésicale 3 litres),perfusion,9%o,,Senegal,,
512,gluconate de calcium,injectable,100mg/ml,,Senegal,,
513,glucose,perfusion,5%,,Senegal,,
516,ringer lactate,perfusion,,,Senegal,,
517,mannitol,perfusion,20%,,Senegal,,
518,albumine humaine,perfusion,5%,,Senegal,,
521,cétoxonium,collyre,"0,25%",,Senegal,,
522,chloramphénicol + dexaméthasone,collyre,,,Senegal,,
