Innovation,Alternative Names,Category,Disease,Indication,Stage,trial_completion_date,TargetPop,is_on_fda,dates_fda,records_fda,time_to_regulatory_approval,time_approval_to_first_launch,time_launch_to_20lmic,time_to_market,expected_date_of_regulatory_approval,expected_date_of_first_launch,expected_date_of_market,Readiness,LeadOrg,Impact Score,Country,Impact Potential,Disease Burden,Epidemiological impact,Alignment with goals,Cost-effectiveness,Budget Impact,Resource optimization,Introduction Readiness,Financing,Policy,Uptake/Delivery,Probability of technical and regulatory success,Procurement model,Regulatory approvals,Policy readiness,Social context,Guidelines and training,Policy implemented,Advance launch and planning/timeline,Demand forecasting and generation,Potential supply chain,Delivery model,source_file
Imatinib,Comp Beta,Drug,tuberculosis,tuberculosis,Phase 2,2022-08-30,"Sex: ALL; Age: >18 Years; Healthy Volunteers: Yes; Criteria: Inclusion Criteria:

* Adult age between 18 years and 55 years
* Body mass index (BMI) greater than 18.5 kg/m\^2
* At least 8 years formal education, with appropriate reading and comprehension skills
...",Yes,2023-01-28,FDA-96589,4.41,0.98,21.0,26.39,2027-01-26,2028-01-19,2049-01-18,20,Bayer,21,Overall,44.66666666666666,96,12,56,31,47,26,55,1,3,2,False,True,True,True,False,True,False,True,False,False,True,HorizonScan_tuberculosis_20251201_Harmonized.xlsx
Isoniazid,AltName A,Drug,tuberculosis,tuberculosis,Phase 2,2022-08-30,"Sex: ALL; Age: >18 Years; Healthy Volunteers: Yes; Criteria: Inclusion Criteria:

* Adult age between 18 years and 55 years
* Body mass index (BMI) greater than 18.5 kg/m\^2
* At least 8 years formal education, with appropriate reading and comprehension skills
...",No,2023-03-30,FDA-96795,4.41,0.98,21.0,26.39,2027-01-26,2028-01-19,2049-01-18,78,J&J,15,Overall,60.5,100,64,82,48,54,15,36,0,2,2,False,False,False,True,False,False,True,True,False,False,True,HorizonScan_tuberculosis_20251201_Harmonized.xlsx
Rifabutin,Product Alpha,Drug,tuberculosis,tuberculosis,Phase 2,2022-08-30,"Sex: ALL; Age: >18 Years; Healthy Volunteers: Yes; Criteria: Inclusion Criteria:

* Adult age between 18 years and 55 years
* Body mass index (BMI) greater than 18.5 kg/m\^2
* At least 8 years formal education, with appropriate reading and comprehension skills
...",No,2023-04-13,FDA-67546,4.41,0.98,21.0,26.39,2027-01-26,2028-01-19,2049-01-18,99,Gilead,87,Overall,48.5,30,57,49,9,100,46,36,1,2,1,True,False,True,False,False,True,False,False,False,True,False,HorizonScan_tuberculosis_20251201_Harmonized.xlsx
Higher-Dose Rifampin,AltName A,Drug,tuberculosis,tuberculosis,Phase 2,2016-04-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Newly diagnosed pulmonary TB with acid-fast bacilli (\>=2+) in a stained sputum smear, ultimately confirmed by culture.
* Susceptibility of isolate to INH and RIF by HAIN test.
...",No,2016-06-30,FDA-24326,4.41,0.98,21.0,26.39,2020-08-28,2021-08-21,2042-08-21,93,GSK,73,Overall,28.5,23,3,17,38,70,20,64,0,3,4,False,False,False,True,True,True,False,True,True,True,True,HorizonScan_tuberculosis_20251201_Harmonized.xlsx
PA-824,GenName Y,Drug,tuberculosis,tuberculosis,Phase 2,2010-05-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Informed Consent
* Body weight between 40 and 90 kg, inclusive.
* Newly diagnosed, previously untreated, uncomplicated, sputum smear-positive, pulmonary TB.
* A chest X-ray comp...",No,2010-07-27,FDA-35212,4.41,0.98,21.0,26.39,2014-09-27,2015-09-20,2036-09-19,73,J&J,98,South Africa,66.66666666666667,78,46,95,100,9,72,27,0,2,1,False,False,True,False,True,False,False,False,False,True,False,HorizonScan_tuberculosis_20251201_Harmonized.xlsx
PA-824,GenName Y,Drug,tuberculosis,tuberculosis,Phase 2,2010-05-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Informed Consent
* Body weight between 40 and 90 kg, inclusive.
* Newly diagnosed, previously untreated, uncomplicated, sputum smear-positive, pulmonary TB.
* A chest X-ray comp...",Yes,2010-11-01,FDA-53817,4.41,0.98,21.0,26.39,2014-09-27,2015-09-20,2036-09-19,74,Sanofi,20,South Africa,73.83333333333333,58,81,88,72,60,84,45,1,3,1,True,False,True,True,False,False,True,False,False,True,False,HorizonScan_tuberculosis_20251201_Harmonized.xlsx
PA-824,AltName A,Drug,tuberculosis,tuberculosis,Phase 2,2010-05-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Informed Consent
* Body weight between 40 and 90 kg, inclusive.
* Newly diagnosed, previously untreated, uncomplicated, sputum smear-positive, pulmonary TB.
* A chest X-ray comp...",Yes,2010-11-22,FDA-24353,4.41,0.98,21.0,26.39,2014-09-27,2015-09-20,2036-09-19,65,GSK,67,Kenya,52.33333333333334,37,20,79,58,68,52,55,2,1,3,True,True,False,False,True,False,False,False,True,True,True,HorizonScan_tuberculosis_20251201_Harmonized.xlsx
Rifafour e-275 mg,Molecule Z,Drug,tuberculosis,tuberculosis,Phase 2,2010-05-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Informed Consent
* Body weight between 40 and 90 kg, inclusive.
* Newly diagnosed, previously untreated, uncomplicated, sputum smear-positive, pulmonary TB.
* A chest X-ray comp...",Yes,2010-12-03,FDA-98444,4.41,0.98,21.0,26.39,2014-09-27,2015-09-20,2036-09-19,35,Novartis,92,Kenya,42.5,16,30,82,70,51,6,27,1,1,1,True,False,True,False,False,False,False,False,True,False,False,HorizonScan_tuberculosis_20251201_Harmonized.xlsx
PA-824,Molecule Z,Drug,tuberculosis,tuberculosis,Phase 2,2010-05-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Informed Consent
* Body weight between 40 and 90 kg, inclusive.
* Newly diagnosed, previously untreated, uncomplicated, sputum smear-positive, pulmonary TB.
* A chest X-ray comp...",No,2010-07-06,FDA-68682,4.41,0.98,21.0,26.39,2014-09-27,2015-09-20,2036-09-19,28,Bayer,55,Overall,39.66666666666666,37,3,74,40,16,68,36,1,1,2,False,True,True,False,False,False,False,False,False,True,True,HorizonScan_tuberculosis_20251201_Harmonized.xlsx
Standard-dose Lopinavir/Ritonavir,AltName B,Drug,tuberculosis,tuberculosis,Phase 2,2017-06-28,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* HIV-1 infection
* CD4+/CD8+ T-cell count obtained within 30 days prior to study entry
* Confirmed or probable pulmonary or extrapulmonary TB (more information on the criterion c...",No,2018-05-11,FDA-15588,4.41,0.98,21.0,26.39,2021-11-24,2022-11-17,2043-11-17,0,Novartis,37,Senegal,47.83333333333334,19,38,98,85,28,19,36,2,1,1,True,True,False,False,False,True,False,False,False,True,False,HorizonScan_tuberculosis_20251201_Harmonized.xlsx
Double-dose Lopinavir/Ritonavir,Product Alpha,Drug,tuberculosis,tuberculosis,Phase 2,2017-06-28,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* HIV-1 infection
* CD4+/CD8+ T-cell count obtained within 30 days prior to study entry
* Confirmed or probable pulmonary or extrapulmonary TB (more information on the criterion c...",No,2017-09-20,FDA-67160,4.41,0.98,21.0,26.39,2021-11-24,2022-11-17,2043-11-17,21,Pfizer,37,Senegal,35.33333333333334,24,16,25,69,44,34,55,1,1,4,True,False,False,True,False,False,False,True,True,True,True,HorizonScan_tuberculosis_20251201_Harmonized.xlsx
Raltegravir,Product Alpha,Drug,tuberculosis,tuberculosis,Phase 2,2017-06-28,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* HIV-1 infection
* CD4+/CD8+ T-cell count obtained within 30 days prior to study entry
* Confirmed or probable pulmonary or extrapulmonary TB (more information on the criterion c...",No,2018-05-18,FDA-95233,4.41,0.98,21.0,26.39,2021-11-24,2022-11-17,2043-11-17,0,Bayer,24,South Africa,68.83333333333333,82,93,76,95,54,13,45,1,3,1,False,True,False,True,True,True,False,True,False,False,False,HorizonScan_tuberculosis_20251201_Harmonized.xlsx
Isoniazid,Molecule Z,Drug,tuberculosis,tuberculosis,Phase 2,2017-06-28,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* HIV-1 infection
* CD4+/CD8+ T-cell count obtained within 30 days prior to study entry
* Confirmed or probable pulmonary or extrapulmonary TB (more information on the criterion c...",No,2017-08-20,FDA-69395,4.41,0.98,21.0,26.39,2021-11-24,2022-11-17,2043-11-17,79,AstraZeneca,16,Kenya,53.66666666666666,44,16,35,66,87,74,45,2,1,2,True,True,False,False,True,False,False,False,False,True,True,HorizonScan_tuberculosis_20251201_Harmonized.xlsx
Pyridoxine,AltName B,Drug,tuberculosis,tuberculosis,Phase 2,2017-06-28,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* HIV-1 infection
* CD4+/CD8+ T-cell count obtained within 30 days prior to study entry
* Confirmed or probable pulmonary or extrapulmonary TB (more information on the criterion c...",No,2018-01-11,FDA-71297,4.41,0.98,21.0,26.39,2021-11-24,2022-11-17,2043-11-17,74,Novartis,62,Kenya,60.5,91,90,54,33,64,31,36,1,3,0,True,False,True,True,True,False,False,False,False,False,False,HorizonScan_tuberculosis_20251201_Harmonized.xlsx
Pyrazinamide,TradeName X,Drug,tuberculosis,tuberculosis,Phase 2,2017-06-28,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* HIV-1 infection
* CD4+/CD8+ T-cell count obtained within 30 days prior to study entry
* Confirmed or probable pulmonary or extrapulmonary TB (more information on the criterion c...",No,2017-10-12,FDA-39419,4.41,0.98,21.0,26.39,2021-11-24,2022-11-17,2043-11-17,99,Gilead,54,Overall,53.16666666666666,94,36,65,54,52,18,55,2,2,2,True,True,False,False,False,True,True,False,True,True,False,HorizonScan_tuberculosis_20251201_Harmonized.xlsx
Ethambutol,Molecule Z,Drug,tuberculosis,tuberculosis,Phase 2,2017-06-28,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* HIV-1 infection
* CD4+/CD8+ T-cell count obtained within 30 days prior to study entry
* Confirmed or probable pulmonary or extrapulmonary TB (more information on the criterion c...",No,2017-10-26,FDA-74776,4.41,0.98,21.0,26.39,2021-11-24,2022-11-17,2043-11-17,46,Novartis,28,South Africa,54.16666666666666,30,26,75,95,11,88,27,0,1,2,False,False,False,False,False,False,True,True,False,True,False,HorizonScan_tuberculosis_20251201_Harmonized.xlsx
Rifabutin,AltName B,Drug,tuberculosis,tuberculosis,Phase 2,2017-06-28,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* HIV-1 infection
* CD4+/CD8+ T-cell count obtained within 30 days prior to study entry
* Confirmed or probable pulmonary or extrapulmonary TB (more information on the criterion c...",Yes,2018-04-22,FDA-80460,4.41,0.98,21.0,26.39,2021-11-24,2022-11-17,2043-11-17,56,AstraZeneca,7,Overall,47.0,34,51,25,23,76,73,64,1,4,2,False,True,False,True,True,True,True,False,True,False,True,HorizonScan_tuberculosis_20251201_Harmonized.xlsx
Rifampin,AltName A,Drug,tuberculosis,tuberculosis,Phase 2,2017-06-28,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* HIV-1 infection
* CD4+/CD8+ T-cell count obtained within 30 days prior to study entry
* Confirmed or probable pulmonary or extrapulmonary TB (more information on the criterion c...",No,2018-02-02,FDA-99770,4.41,0.98,21.0,26.39,2021-11-24,2022-11-17,2043-11-17,72,Bayer,41,Senegal,49.0,60,17,73,13,53,78,45,1,2,2,False,True,False,False,True,True,False,True,True,False,False,HorizonScan_tuberculosis_20251201_Harmonized.xlsx
TMC207,Molecule Z,Drug,tuberculosis,tuberculosis,Phase 2,2010-09-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Provide written, informed consent prior to all trial-related procedures including HIV testing.
* Male or female, aged between 18 and 65 years inclusive.
* Body weight (in light ...",Yes,2010-12-22,FDA-91323,4.41,0.98,21.0,26.39,2015-01-28,2016-01-21,2037-01-20,61,Merck,82,Kenya,60.16666666666666,21,69,99,57,84,31,36,0,4,0,False,False,True,False,True,True,True,False,False,False,False,HorizonScan_tuberculosis_20251201_Harmonized.xlsx
Rifafour e-275 mg,GenName Y,Drug,tuberculosis,tuberculosis,Phase 2,2010-09-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Provide written, informed consent prior to all trial-related procedures including HIV testing.
* Male or female, aged between 18 and 65 years inclusive.
* Body weight (in light ...",No,2011-07-02,FDA-78117,4.41,0.98,21.0,26.39,2015-01-28,2016-01-21,2037-01-20,80,Bayer,34,Senegal,54.33333333333334,75,51,33,63,83,21,55,2,3,1,True,True,True,True,False,False,True,False,False,False,True,HorizonScan_tuberculosis_20251201_Harmonized.xlsx
PA-824,Molecule Z,Drug,tuberculosis,tuberculosis,Phase 2,2011-08-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

1. Provide written, informed consent prior to all trial-related procedures including HIV testing.
2. Male or female, aged between 18 and 65 years inclusive.
3. Body weight (in lig...",No,2011-10-07,FDA-91538,4.41,0.98,21.0,26.39,2015-12-28,2016-12-20,2037-12-20,72,J&J,28,Kenya,58.83333333333334,24,75,90,59,98,7,45,1,3,1,True,False,True,True,False,True,False,False,False,False,True,HorizonScan_tuberculosis_20251201_Harmonized.xlsx
Pyrazinamide,Product Alpha,Drug,tuberculosis,tuberculosis,Phase 2,2011-08-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

1. Provide written, informed consent prior to all trial-related procedures including HIV testing.
2. Male or female, aged between 18 and 65 years inclusive.
3. Body weight (in lig...",No,2011-09-22,FDA-12530,4.41,0.98,21.0,26.39,2015-12-28,2016-12-20,2037-12-20,84,Bayer,25,South Africa,52.83333333333334,59,43,76,27,16,96,36,1,2,1,False,True,True,False,False,False,True,True,False,False,False,HorizonScan_tuberculosis_20251201_Harmonized.xlsx
TMC207,GenName Y,Drug,tuberculosis,tuberculosis,Phase 2,2011-08-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

1. Provide written, informed consent prior to all trial-related procedures including HIV testing.
2. Male or female, aged between 18 and 65 years inclusive.
3. Body weight (in lig...",Yes,2011-12-27,FDA-89134,4.41,0.98,21.0,26.39,2015-12-28,2016-12-20,2037-12-20,80,Merck,78,Kenya,43.83333333333334,50,13,39,64,33,64,64,1,3,3,True,False,True,False,False,True,True,True,True,True,False,HorizonScan_tuberculosis_20251201_Harmonized.xlsx
Rifafour,GenName Y,Drug,tuberculosis,tuberculosis,Phase 2,2011-08-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

1. Provide written, informed consent prior to all trial-related procedures including HIV testing.
2. Male or female, aged between 18 and 65 years inclusive.
3. Body weight (in lig...",No,2011-11-01,FDA-22742,4.41,0.98,21.0,26.39,2015-12-28,2016-12-20,2037-12-20,13,Novartis,18,Senegal,46.83333333333334,13,57,79,100,1,31,55,2,3,1,True,True,False,True,True,False,True,False,False,True,False,HorizonScan_tuberculosis_20251201_Harmonized.xlsx
Moxifloxacin,GenName Y,Drug,tuberculosis,tuberculosis,Phase 2,2011-08-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

1. Provide written, informed consent prior to all trial-related procedures including HIV testing.
2. Male or female, aged between 18 and 65 years inclusive.
3. Body weight (in lig...",No,2011-10-15,FDA-88391,4.41,0.98,21.0,26.39,2015-12-28,2016-12-20,2037-12-20,40,GSK,22,Senegal,33.16666666666666,33,28,30,31,75,2,45,1,3,1,False,True,True,True,True,False,False,False,False,True,False,HorizonScan_tuberculosis_20251201_Harmonized.xlsx
PA-824,GenName Y,Drug,tuberculosis,tuberculosis,Phase 2,2007-12-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* informed consent
* M/F 18-64 yo
* newly diagnosed pulmonary TB
* sputum positive
* adequate contraception

Exclusion Criteria:

* poor health
* rifampicin resistance
* treatment...",No,2008-03-29,FDA-59303,4.41,0.98,21.0,26.39,2012-04-28,2013-04-21,2034-04-21,56,AstraZeneca,84,South Africa,52.16666666666666,77,46,71,49,22,48,45,0,3,2,False,False,True,False,True,False,True,False,True,True,False,HorizonScan_tuberculosis_20251201_Harmonized.xlsx
TMC207 (J),AltName A,Drug,tuberculosis,tuberculosis,Phase 2,2013-05-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* 1\. Provide written, informed consent prior to all trial-related procedures including HIV testing.

  2\. Male or female, aged between 18 and 65 years inclusive.

  3\. Body wei...",No,2014-03-14,FDA-46608,4.41,0.98,21.0,26.39,2017-09-27,2018-09-20,2039-09-20,98,Bayer,99,Senegal,42.66666666666666,4,81,56,8,20,87,36,2,2,0,True,True,False,False,False,True,True,False,False,False,False,HorizonScan_tuberculosis_20251201_Harmonized.xlsx
PA-824 (PA),AltName A,Drug,tuberculosis,tuberculosis,Phase 2,2013-05-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* 1\. Provide written, informed consent prior to all trial-related procedures including HIV testing.

  2\. Male or female, aged between 18 and 65 years inclusive.

  3\. Body wei...",Yes,2014-03-13,FDA-12514,4.41,0.98,21.0,26.39,2017-09-27,2018-09-20,2039-09-20,26,Novartis,70,Senegal,65.83333333333333,87,75,30,99,30,74,64,1,3,3,True,False,True,False,False,True,True,True,True,False,True,HorizonScan_tuberculosis_20251201_Harmonized.xlsx
pyrazinamide (Z),GenName Y,Drug,tuberculosis,tuberculosis,Phase 2,2013-05-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* 1\. Provide written, informed consent prior to all trial-related procedures including HIV testing.

  2\. Male or female, aged between 18 and 65 years inclusive.

  3\. Body wei...",Yes,2013-06-20,FDA-75608,4.41,0.98,21.0,26.39,2017-09-27,2018-09-20,2039-09-20,21,Novartis,53,Overall,50.66666666666666,38,78,1,58,30,99,64,1,3,3,False,True,True,False,True,True,False,True,True,False,True,HorizonScan_tuberculosis_20251201_Harmonized.xlsx
clofazimine (C),TradeName X,Drug,tuberculosis,tuberculosis,Phase 2,2013-05-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* 1\. Provide written, informed consent prior to all trial-related procedures including HIV testing.

  2\. Male or female, aged between 18 and 65 years inclusive.

  3\. Body wei...",Yes,2014-01-28,FDA-10715,4.41,0.98,21.0,26.39,2017-09-27,2018-09-20,2039-09-20,18,Merck,77,South Africa,31.0,46,49,13,24,3,51,36,0,2,2,False,False,False,True,True,False,False,False,True,True,False,HorizonScan_tuberculosis_20251201_Harmonized.xlsx
Rifafour,Comp Beta,Drug,tuberculosis,tuberculosis,Phase 2,2013-05-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* 1\. Provide written, informed consent prior to all trial-related procedures including HIV testing.

  2\. Male or female, aged between 18 and 65 years inclusive.

  3\. Body wei...",No,2014-02-15,FDA-53877,4.41,0.98,21.0,26.39,2017-09-27,2018-09-20,2039-09-20,12,AstraZeneca,13,Kenya,52.0,59,36,16,72,89,40,36,0,2,2,False,False,True,False,False,True,False,False,False,True,True,HorizonScan_tuberculosis_20251201_Harmonized.xlsx
Rifapentine,GenName Y,Drug,tuberculosis,tuberculosis,Phase 2,2025-06-24,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Pulmonary TB (among participants with or without history of prior TB treatment) identified within 5 days prior to entry by:

  * At least one sputum specimen positive for M. tub...",Yes,2025-11-07,FDA-37223,4.41,0.98,21.0,26.39,2029-11-20,2030-11-13,2051-11-13,73,AstraZeneca,13,Overall,50.16666666666666,15,69,14,64,63,76,45,1,3,1,False,True,True,True,False,False,True,True,False,False,False,HorizonScan_tuberculosis_20251201_Harmonized.xlsx
Rifampicin,Molecule Z,Drug,tuberculosis,tuberculosis,Phase 2,2025-06-24,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Pulmonary TB (among participants with or without history of prior TB treatment) identified within 5 days prior to entry by:

  * At least one sputum specimen positive for M. tub...",Yes,2026-01-05,FDA-14876,4.41,0.98,21.0,26.39,2029-11-20,2030-11-13,2051-11-13,32,Novartis,12,Senegal,39.83333333333334,3,57,63,44,35,37,64,2,3,2,True,True,False,True,True,False,True,False,True,False,True,HorizonScan_tuberculosis_20251201_Harmonized.xlsx
Isoniazid,TradeName X,Drug,tuberculosis,tuberculosis,Phase 2,2025-06-24,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Pulmonary TB (among participants with or without history of prior TB treatment) identified within 5 days prior to entry by:

  * At least one sputum specimen positive for M. tub...",No,2025-10-16,FDA-44643,4.41,0.98,21.0,26.39,2029-11-20,2030-11-13,2051-11-13,32,Pfizer,48,Kenya,43.83333333333334,29,48,54,39,61,32,45,0,2,3,False,False,True,False,True,False,False,True,False,True,True,HorizonScan_tuberculosis_20251201_Harmonized.xlsx
Pyrazinamide,Product Alpha,Drug,tuberculosis,tuberculosis,Phase 2,2025-06-24,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Pulmonary TB (among participants with or without history of prior TB treatment) identified within 5 days prior to entry by:

  * At least one sputum specimen positive for M. tub...",No,2025-11-01,FDA-80699,4.41,0.98,21.0,26.39,2029-11-20,2030-11-13,2051-11-13,77,Merck,15,Kenya,41.5,42,87,65,10,22,23,45,0,2,3,False,False,False,False,True,False,True,False,True,True,True,HorizonScan_tuberculosis_20251201_Harmonized.xlsx
Ethambutol,Comp Beta,Drug,tuberculosis,tuberculosis,Phase 2,2025-06-24,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Pulmonary TB (among participants with or without history of prior TB treatment) identified within 5 days prior to entry by:

  * At least one sputum specimen positive for M. tub...",Yes,2025-11-17,FDA-20769,4.41,0.98,21.0,26.39,2029-11-20,2030-11-13,2051-11-13,28,AstraZeneca,76,South Africa,41.0,1,72,36,67,20,50,45,1,2,2,True,False,True,False,False,False,True,False,True,False,True,HorizonScan_tuberculosis_20251201_Harmonized.xlsx
Clofazimine loading dose,AltName B,Drug,tuberculosis,tuberculosis,Phase 2,2025-06-24,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Pulmonary TB (among participants with or without history of prior TB treatment) identified within 5 days prior to entry by:

  * At least one sputum specimen positive for M. tub...",No,2026-05-28,FDA-86546,4.41,0.98,21.0,26.39,2029-11-20,2030-11-13,2051-11-13,21,Pfizer,28,Kenya,33.16666666666666,27,11,53,11,65,32,45,1,2,2,False,True,False,True,False,True,False,False,True,True,False,HorizonScan_tuberculosis_20251201_Harmonized.xlsx
Clofazimine 100 MG,TradeName X,Drug,tuberculosis,tuberculosis,Phase 2,2025-06-24,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Pulmonary TB (among participants with or without history of prior TB treatment) identified within 5 days prior to entry by:

  * At least one sputum specimen positive for M. tub...",No,2026-05-14,FDA-37879,4.41,0.98,21.0,26.39,2029-11-20,2030-11-13,2051-11-13,38,Novartis,16,South Africa,60.33333333333334,81,62,95,38,30,56,55,2,2,2,True,True,True,False,False,False,True,False,True,True,False,HorizonScan_tuberculosis_20251201_Harmonized.xlsx
Pretomanid,Comp Beta,Drug,tuberculosis,tuberculosis,Phase 3,2022-02-08,"Sex: ALL; Age: >14 Years; Criteria: Inclusion Criteria:

* Male or female, aged 14 years or older.
* One of the following with documentation of culture positive or molecular test within 3 months of screening:

  * XDR-TB defined as resi...",Yes,2022-03-19,FDA-65797,2.62,0.32,5.0,7.94,2024-09-21,2025-01-16,2030-01-17,16,Bayer,65,South Africa,38.16666666666666,62,2,16,52,89,8,45,1,2,2,True,False,True,True,False,False,False,False,True,True,False,HorizonScan_tuberculosis_20251201_Harmonized.xlsx
Linezolid,Comp Beta,Drug,tuberculosis,tuberculosis,Phase 3,2022-02-08,"Sex: ALL; Age: >14 Years; Criteria: Inclusion Criteria:

* Male or female, aged 14 years or older.
* One of the following with documentation of culture positive or molecular test within 3 months of screening:

  * XDR-TB defined as resi...",Yes,2022-03-28,FDA-93889,2.62,0.32,5.0,7.94,2024-09-21,2025-01-16,2030-01-17,71,Sanofi,63,South Africa,49.33333333333334,18,91,17,5,72,93,27,0,1,2,False,False,False,True,False,False,False,False,False,True,True,HorizonScan_tuberculosis_20251201_Harmonized.xlsx
Bedaquiline,AltName A,Drug,tuberculosis,tuberculosis,Phase 3,2022-02-08,"Sex: ALL; Age: >14 Years; Criteria: Inclusion Criteria:

* Male or female, aged 14 years or older.
* One of the following with documentation of culture positive or molecular test within 3 months of screening:

  * XDR-TB defined as resi...",Yes,2022-10-12,FDA-36859,2.62,0.32,5.0,7.94,2024-09-21,2025-01-16,2030-01-17,66,Sanofi,19,Senegal,73.66666666666667,66,96,41,99,60,80,55,2,2,2,True,True,False,True,False,False,True,False,True,False,True,HorizonScan_tuberculosis_20251201_Harmonized.xlsx
Delamanid,Product Alpha,Drug,tuberculosis,tuberculosis,Phase 2,2010-06-11,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Provide written, informed consent prior to all trial-related procedures
* Male and female participants aged between 18 and 64 years, inclusive.
* Either mycobacterial culture of...",No,2011-03-15,FDA-73985,4.41,0.98,21.0,26.39,2014-11-07,2015-10-31,2036-10-30,14,GSK,87,Overall,37.66666666666666,11,52,60,10,78,15,55,2,2,2,True,True,True,True,False,False,False,False,False,True,True,HorizonScan_tuberculosis_20251201_Harmonized.xlsx
Optimized Background Regimen (OBR),Molecule Z,Drug,tuberculosis,tuberculosis,Phase 2,2010-06-11,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Provide written, informed consent prior to all trial-related procedures
* Male and female participants aged between 18 and 64 years, inclusive.
* Either mycobacterial culture of...",Yes,2010-09-05,FDA-87263,4.41,0.98,21.0,26.39,2014-11-07,2015-10-31,2036-10-30,21,Pfizer,16,Senegal,60.16666666666666,22,90,9,83,76,81,45,1,2,2,True,False,True,True,False,False,False,True,True,False,False,HorizonScan_tuberculosis_20251201_Harmonized.xlsx
Moxifloxacin (M),Comp Beta,Drug,tuberculosis,tuberculosis,Phase 2,2013-07-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Provide written, informed consent prior to all trial-related procedures including HIV testing (if an HIV test was performed within 1 month prior to trial start, it should not be...",No,2013-09-26,FDA-79287,4.41,0.98,21.0,26.39,2017-11-27,2018-11-20,2039-11-20,90,Sanofi,28,South Africa,58.5,92,26,8,84,100,41,64,2,3,2,True,True,True,False,True,False,True,True,True,False,False,HorizonScan_tuberculosis_20251201_Harmonized.xlsx
Pretomid (Pa),Product Alpha,Drug,tuberculosis,tuberculosis,Phase 2,2013-07-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Provide written, informed consent prior to all trial-related procedures including HIV testing (if an HIV test was performed within 1 month prior to trial start, it should not be...",Yes,2014-05-31,FDA-90045,4.41,0.98,21.0,26.39,2017-11-27,2018-11-20,2039-11-20,5,GSK,1,Senegal,46.66666666666666,27,51,99,10,81,12,55,1,2,3,False,True,True,False,False,False,True,False,True,True,True,HorizonScan_tuberculosis_20251201_Harmonized.xlsx
Pyrazinamide (Z),GenName Y,Drug,tuberculosis,tuberculosis,Phase 2,2013-07-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Provide written, informed consent prior to all trial-related procedures including HIV testing (if an HIV test was performed within 1 month prior to trial start, it should not be...",No,2014-06-15,FDA-54801,4.41,0.98,21.0,26.39,2017-11-27,2018-11-20,2039-11-20,96,AstraZeneca,67,South Africa,34.16666666666666,0,62,79,39,12,13,55,2,3,1,True,True,False,False,True,True,True,True,False,False,False,HorizonScan_tuberculosis_20251201_Harmonized.xlsx
