Innovation,Alternative Names,Category,Disease,Indication,Stage,trial_completion_date,TargetPop,is_on_fda,dates_fda,records_fda,time_to_regulatory_approval,time_approval_to_first_launch,time_launch_to_20lmic,time_to_market,expected_date_of_regulatory_approval,expected_date_of_first_launch,expected_date_of_market,Readiness,LeadOrg,Impact Score,Country,Impact Potential,Disease Burden,Epidemiological impact,Alignment with goals,Cost-effectiveness,Budget Impact,Resource optimization,Introduction Readiness,Financing,Policy,Uptake/Delivery,Probability of technical and regulatory success,Procurement model,Regulatory approvals,Policy readiness,Social context,Guidelines and training,Policy implemented,Advance launch and planning/timeline,Demand forecasting and generation,Potential supply chain,Delivery model
Tafenoquine 100mg,TradeName X,Drug,Malaria,Malaria,Phase 2,2016-11-18,"Sex: ALL; Age: >16 Years; Criteria: Inclusion Criteria: - Positive Giemsa smear for P. vivax

* Parasite density \>100 and \<200,000/_L
* ³16 years
* A female is eligible if she is non-pregnant, nonlactating and if she is of: - non-chil...",Yes,2017-10-27,FDA-70892,4.41,0.98,21,26.39,2021-04-16,2022-04-09,2043-04-09,87,J&J,77,Kenya,67.5,69,87,82,65,70,32,55,0,4,2,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
Tafenoquine 300mg,TradeName X,Drug,Malaria,Malaria,Phase 2,2016-11-18,"Sex: ALL; Age: >16 Years; Criteria: Inclusion Criteria: - Positive Giemsa smear for P. vivax

* Parasite density \>100 and \<200,000/_L
* ³16 years
* A female is eligible if she is non-pregnant, nonlactating and if she is of: - non-chil...",Yes,2017-07-29,FDA-93499,4.41,0.98,21,26.39,2021-04-16,2022-04-09,2043-04-09,22,Novartis,5,South Africa,72,100,73,68,83,63,45,55,1,2,3,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
Tafenoquine 600mg,GenName Y,Drug,Malaria,Malaria,Phase 2,2016-11-18,"Sex: ALL; Age: >16 Years; Criteria: Inclusion Criteria: - Positive Giemsa smear for P. vivax

* Parasite density \>100 and \<200,000/_L
* ³16 years
* A female is eligible if she is non-pregnant, nonlactating and if she is of: - non-chil...",No,2017-05-10,FDA-85222,4.41,0.98,21,26.39,2021-04-16,2022-04-09,2043-04-09,22,AstraZeneca,54,Kenya,32.66666667,17,85,44,44,4,2,36,0,3,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Primaquine 15mg,AltName B,Drug,Malaria,Malaria,Phase 2,2016-11-18,"Sex: ALL; Age: >16 Years; Criteria: Inclusion Criteria: - Positive Giemsa smear for P. vivax

* Parasite density \>100 and \<200,000/_L
* ³16 years
* A female is eligible if she is non-pregnant, nonlactating and if she is of: - non-chil...",Yes,2017-07-06,FDA-77326,4.41,0.98,21,26.39,2021-04-16,2022-04-09,2043-04-09,0,Merck,21,Overall,50.83333333,26,53,34,65,72,55,45,1,3,1,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Chloroquine 600mg (Part 2 ),GenName Y,Drug,Malaria,Malaria,Phase 2,2016-11-18,"Sex: ALL; Age: >16 Years; Criteria: Inclusion Criteria: - Positive Giemsa smear for P. vivax

* Parasite density \>100 and \<200,000/_L
* ³16 years
* A female is eligible if she is non-pregnant, nonlactating and if she is of: - non-chil...",Yes,2017-01-26,FDA-28347,4.41,0.98,21,26.39,2021-04-16,2022-04-09,2043-04-09,28,Novartis,76,South Africa,36.33333333,39,65,30,29,11,44,55,1,3,2,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
Chloroquine 300mg (Part 2 ),AltName A,Drug,Malaria,Malaria,Phase 2,2016-11-18,"Sex: ALL; Age: >16 Years; Criteria: Inclusion Criteria: - Positive Giemsa smear for P. vivax

* Parasite density \>100 and \<200,000/_L
* ³16 years
* A female is eligible if she is non-pregnant, nonlactating and if she is of: - non-chil...",No,2016-12-31,FDA-58007,4.41,0.98,21,26.39,2021-04-16,2022-04-09,2043-04-09,44,GSK,2,South Africa,43,12,63,39,47,97,0,45,1,3,1,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Tafenoquine 300mg (Part 2),Molecule Z,Drug,Malaria,Malaria,Phase 2,2016-11-18,"Sex: ALL; Age: >16 Years; Criteria: Inclusion Criteria: - Positive Giemsa smear for P. vivax

* Parasite density \>100 and \<200,000/_L
* ³16 years
* A female is eligible if she is non-pregnant, nonlactating and if she is of: - non-chil...",Yes,2017-01-23,FDA-18350,4.41,0.98,21,26.39,2021-04-16,2022-04-09,2043-04-09,66,Sanofi,7,Senegal,38.66666667,38,89,8,5,92,0,64,0,5,2,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
"RTS,S/AS01B Fractional dose",Comp Beta,Biological,Malaria,Malaria,Phase 2,2018-02-20,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Participant is a healthy male or non-pregnant female, aged 18 to 55 years (inclusive), of Thai origin.
* Participant is willing and able to give informed consent to participate ...",Yes,2018-10-05,FDA-21456,4.41,0.98,21,26.39,2022-07-19,2023-07-12,2044-07-11,100,Sanofi,30,South Africa,54.83333333,46,34,39,85,93,32,64,0,5,2,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
"RTS,S/AS01E + DHA-PIP+PQ Standard dose",GenName Y,Biological,Malaria,Malaria,Phase 2,2018-02-20,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Participant is a healthy male or non-pregnant female, aged 18 to 55 years (inclusive), of Thai origin.
* Participant is willing and able to give informed consent to participate ...",Yes,2018-09-14,FDA-31092,4.41,0.98,21,26.39,2022-07-19,2023-07-12,2044-07-11,1,Merck,88,Senegal,36.83333333,37,24,17,12,31,100,45,1,3,1,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"RTS,S/AS01E Standard dose",Product Alpha,Biological,Malaria,Malaria,Phase 2,2018-02-20,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Participant is a healthy male or non-pregnant female, aged 18 to 55 years (inclusive), of Thai origin.
* Participant is willing and able to give informed consent to participate ...",No,2018-05-01,FDA-16153,4.41,0.98,21,26.39,2022-07-19,2023-07-12,2044-07-11,55,Merck,13,Overall,53.83333333,59,26,84,48,51,55,55,1,3,2,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
KAE609,Product Alpha,Drug,Malaria,Malaria,Phase 2,2014-08-01,"Sex: ALL; Age: >20 Years; Criteria: Inclusion Criteria:

* Male and female patients aged 20 to 60 years
* Presence of mono-infection of P. falciparum
* Weight between 40 kg to 90 kg

Exclusion Criteria:

* Patients with signs and sympto...",No,2014-11-07,FDA-81210,4.41,0.98,21,26.39,2018-12-28,2019-12-21,2040-12-20,97,Sanofi,60,Overall,57.66666667,83,50,81,22,52,58,55,1,3,2,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
"NMRC-MV-Ad-PfC, NMRC-M3V-Ad-PfCA",AltName B,Biological,Malaria,Malaria,Phase 2,2017-09-25,"Sex: ALL; Age: >18 Years; Criteria: INCLUSION CRITERIA:

* Between the ages of 18-50 (inclusive)
* Negative results of HIV ELISA, HbSAg, anti-HCV antibody, and no other clinically significant abnormal laboratory results from screening.
...",Yes,2018-02-21,FDA-75925,4.41,0.98,21,26.39,2022-02-21,2023-02-14,2044-02-14,22,Pfizer,76,South Africa,23.66666667,62,4,0,49,7,20,45,1,2,2,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Emtricitabine/tenofovir disoproxil fumarate,Molecule Z,Drug,Malaria,Malaria,Phase 2,2016-06-19,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* HIV-1 infection
* CD4+ count \> 200 and \< 500 cells/mm\^3 obtained within 30 days prior to study entry at a DAIDS-approved laboratory.
* Pf SCP confirmed in a laboratory approv...",No,2017-02-18,FDA-25269,4.41,0.98,21,26.39,2020-11-15,2021-11-08,2042-11-08,81,AstraZeneca,32,South Africa,54.83333333,70,74,31,87,21,46,64,2,3,2,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
Nevirapine,Comp Beta,Drug,Malaria,Malaria,Phase 2,2016-06-19,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* HIV-1 infection
* CD4+ count \> 200 and \< 500 cells/mm\^3 obtained within 30 days prior to study entry at a DAIDS-approved laboratory.
* Pf SCP confirmed in a laboratory approv...",Yes,2017-01-29,FDA-80731,4.41,0.98,21,26.39,2020-11-15,2021-11-08,2042-11-08,36,GSK,48,South Africa,50.16666667,76,75,20,40,48,42,45,1,4,0,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Trimethoprim/sulfamethoxazole,TradeName X,Drug,Malaria,Malaria,Phase 2,2016-06-19,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* HIV-1 infection
* CD4+ count \> 200 and \< 500 cells/mm\^3 obtained within 30 days prior to study entry at a DAIDS-approved laboratory.
* Pf SCP confirmed in a laboratory approv...",No,2016-07-23,FDA-34327,4.41,0.98,21,26.39,2020-11-15,2021-11-08,2042-11-08,12,Pfizer,1,Kenya,41.5,100,16,37,10,53,33,36,0,2,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
RH5.1/ ASO1,Product Alpha,Biological,Malaria,Malaria,Phase 2,2019-06-27,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Healthy adults aged 18 to 45 years.
* Able and willing (in the Investigator's opinion) to comply with all study requirements.
* Willing to allow the Investigators to discuss the...",Yes,2019-09-16,FDA-41813,4.41,0.98,21,26.39,2023-11-23,2024-11-15,2045-11-15,98,Merck,99,Overall,37.83333333,43,45,99,21,8,11,18,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Mefloquine,Molecule Z,Drug,Malaria,Malaria,Phase 2,2003-03-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Healthy male or female volunteers who provided informed consent (a healthy volunteer was defined as one who was free of ailments that might cause difficulty in evaluating drug e...",Yes,2004-02-23,FDA-60688,4.41,0.98,21,26.39,2007-07-28,2008-07-20,2029-07-20,49,Merck,48,Overall,41.83333333,34,7,46,24,58,82,36,1,2,1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
NMRC-M3V-Ad-PfCA,Product Alpha,Biological,Malaria,Malaria,Phase 2,2017-09-25,"Sex: ALL; Age: >18 Years; Criteria: INCLUSION CRITERIA:

* Between the ages of 18-50 (inclusive)
* Negative results of HIV ELISA, HbSAg, anti-HCV antibody, and no other clinically significant abnormal laboratory results from screening.
...",No,2018-05-07,FDA-30690,4.41,0.98,21,26.39,2022-02-21,2023-02-14,2044-02-14,97,Bayer,61,Kenya,47.33333333,47,12,93,23,14,95,55,1,3,2,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Atovaquone Proguanil,Comp Beta,Drug,Malaria,Malaria,Phase 2,2010-04-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* A male or non-pregnant, non-lactating female 18 to 50 years of age (inclusive) at the time of screening
* Free of clinically significant health problems
* Baseline ECG before en...",Yes,2010-08-22,FDA-92732,4.41,0.98,21,26.39,2014-08-28,2015-08-21,2036-08-20,23,Gilead,80,South Africa,30.83333333,16,0,8,68,49,44,45,2,1,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Artemether / Lumefantrine,TradeName X,Drug,Malaria,Malaria,Phase 2,2022-08-17,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Provision of signed or thumb printed and dated informed consent form
* Stated willingness to comply with all study procedures and availability for the duration of the study
* Ma...",No,2022-09-25,FDA-57296,4.41,0.98,21,26.39,2027-01-13,2028-01-06,2049-01-05,58,Pfizer,31,Senegal,46.33333333,9,48,21,91,39,70,18,0,2,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Dihydroartemisinin-piperaquine (DHA/Pip),AltName B,Drug,Malaria,Malaria,Phase 2,2022-08-17,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Provision of signed or thumb printed and dated informed consent form
* Stated willingness to comply with all study procedures and availability for the duration of the study
* Ma...",Yes,2023-01-11,FDA-99817,4.41,0.98,21,26.39,2027-01-13,2028-01-06,2049-01-05,38,GSK,99,Kenya,68.5,90,45,83,75,85,33,45,1,2,2,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Standard AED,Molecule Z,Drug,Malaria,Malaria,Phase 2,2015-06-01,"Sex: ALL; Age: >24 Months; Criteria: Inclusion Criteria:

* Comatose with Blantyre Comas Score ² 2
* P. falciparum parasitemia via thick blood film or rapid diagnostic test
* Active seizure in past 24 hours

Exclusion Criteria:

* Serum ...",No,2016-04-07,FDA-77855,4.41,0.98,21,26.39,2019-10-28,2020-10-20,2041-10-20,67,Novartis,98,Overall,53.33333333,52,55,32,93,4,84,36,0,3,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Oral Levetiracetam,Product Alpha,Drug,Malaria,Malaria,Phase 2,2015-06-01,"Sex: ALL; Age: >24 Months; Criteria: Inclusion Criteria:

* Comatose with Blantyre Comas Score ² 2
* P. falciparum parasitemia via thick blood film or rapid diagnostic test
* Active seizure in past 24 hours

Exclusion Criteria:

* Serum ...",No,2016-03-04,FDA-35830,4.41,0.98,21,26.39,2019-10-28,2020-10-20,2041-10-20,94,Novartis,37,Overall,63,57,93,79,69,52,28,27,1,1,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Placebo/TMPS,Comp Beta,Drug,Malaria,Malaria,Phase 2,2022-01-01,"Sex: FEMALE; Age: >16 Years; Criteria: Inclusion Criteria:

* Confirmed HIV-infection (documented in medical record)
* Age ³16 years
* Confirmed pregnancy, \<28 weeks estimated gestational age (by best obstetric estimate which may include ...",Yes,2022-11-12,FDA-88320,4.41,0.98,21,26.39,2026-05-30,2027-05-23,2048-05-22,82,Merck,60,South Africa,46.16666667,78,27,33,56,72,11,73,2,4,2,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
Azithromycin/TMPS,AltName B,Drug,Malaria,Malaria,Phase 2,2022-01-01,"Sex: FEMALE; Age: >16 Years; Criteria: Inclusion Criteria:

* Confirmed HIV-infection (documented in medical record)
* Age ³16 years
* Confirmed pregnancy, \<28 weeks estimated gestational age (by best obstetric estimate which may include ...",Yes,2022-07-13,FDA-42775,4.41,0.98,21,26.39,2026-05-30,2027-05-23,2048-05-22,23,Bayer,22,Overall,39,65,67,12,4,48,38,73,2,4,2,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"RTS,S/AS01E Fractional dose",AltName B,Biological,Malaria,Malaria,Phase 2,2018-02-20,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Participant is a healthy male or non-pregnant female, aged 18 to 55 years (inclusive), of Thai origin.
* Participant is willing and able to give informed consent to participate ...",No,2018-08-04,FDA-18232,4.41,0.98,21,26.39,2022-07-19,2023-07-12,2044-07-11,29,Sanofi,43,Senegal,45.33333333,35,22,78,57,62,18,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RTS,S/AS01E + DHA-PIP+PQ Fractional dose",AltName A,Biological,Malaria,Malaria,Phase 2,2018-02-20,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Participant is a healthy male or non-pregnant female, aged 18 to 55 years (inclusive), of Thai origin.
* Participant is willing and able to give informed consent to participate ...",No,2018-11-14,FDA-32846,4.41,0.98,21,26.39,2022-07-19,2023-07-12,2044-07-11,66,Pfizer,44,Senegal,63.66666667,71,72,44,61,52,82,45,1,1,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"RTS,S/AS01E + DHA-PIP+PQ Fractional two-dose",GenName Y,Biological,Malaria,Malaria,Phase 2,2018-02-20,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Participant is a healthy male or non-pregnant female, aged 18 to 55 years (inclusive), of Thai origin.
* Participant is willing and able to give informed consent to participate ...",Yes,2019-02-12,FDA-97578,4.41,0.98,21,26.39,2022-07-19,2023-07-12,2044-07-11,68,AstraZeneca,10,Senegal,51.83333333,29,64,81,40,64,33,73,1,3,4,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
OZ439,GenName Y,Drug,Malaria,Malaria,Phase 2,2012-05-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

1. Male or female patients between the age of 18 and 60 years, inclusive
2. Body weight between 40 kg and 90 kg inclusive
3. Presence of mono-infection of P. falciparum or P. viva...",No,2013-02-09,FDA-88556,4.41,0.98,21,26.39,2016-09-27,2017-09-20,2038-09-20,4,Sanofi,50,Overall,52.66666667,12,29,91,23,85,76,64,1,3,3,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
MMV390048,Comp Beta,Drug,Malaria,Malaria,Phase 2,2018-09-24,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Body weight between 40 kg and 90 kg inclusive
* Presence of P. vivax or P. falciparum monoinfection confirmed by:
* Fever, as defined by axillary temperature ³37.5¡C or oral/rec...",No,2019-05-11,FDA-81349,4.41,0.98,21,26.39,2023-02-20,2024-02-13,2045-02-12,37,Bayer,51,South Africa,41.5,33,2,88,33,71,22,45,1,2,2,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
Sanaria¨ PfSPZ Vaccine,AltName A,Biological,Malaria,Malaria,Phase 2,2022-12-10,"Sex: ALL; Age: >6 Years; Criteria: Inclusion Criteria:

1. Parent(s) or guardian(s) willing and able to provide consent prior to initiation of any study procedures
2. Stated willingness of parent(s) or guardian(s) to comply with all st...",Yes,2023-04-09,FDA-18978,4.41,0.98,21,26.39,2027-05-08,2028-04-30,2049-04-30,87,Novartis,56,Senegal,40,33,12,96,1,72,26,18,0,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Chloroquine + Primaquine,TradeName X,Drug,Malaria,Malaria,Phase 2,2005-01-10,"Sex: ALL; Age: >20 Years; Criteria: Inclusion Criteria:

1. Positive smear for P. vivax.
2. Parasite density \> 500 and \< 200,000/_l
3. Age: 20-60 years old
4. Willing to sign consent form
5. Willing to be hospitalized for 29 days and ...",No,2005-06-15,FDA-71651,4.41,0.98,21,26.39,2009-06-08,2010-06-01,2031-06-01,8,Bayer,65,Kenya,68.5,3,74,77,63,97,97,55,2,4,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
LEVETIRACETAM,Product Alpha,Drug,Malaria,Malaria,Phase 2,2013-07-01,"Sex: ALL; Age: >2 Years; Criteria: Inclusion Criteria:

* Comatose with Blantyre Comas Score ² 3
* P. falciparum parasitemia
* Active seizure

Exclusion Criteria:

* Serum creatinine \> 2mg/dL
* Pre-admission/concomitant treatment with...",Yes,2014-04-10,FDA-19059,4.41,0.98,21,26.39,2017-11-27,2018-11-20,2039-11-20,17,GSK,91,Kenya,37.5,37,30,36,76,24,22,36,2,2,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
tafenoquine,Product Alpha,Drug,Malaria,Malaria,Phase 2,2005-01-10,"Sex: ALL; Age: >20 Years; Criteria: Inclusion Criteria:

1. Positive smear for P. vivax.
2. Parasite density \> 500 and \< 200,000/_l
3. Age: 20-60 years old
4. Willing to sign consent form
5. Willing to be hospitalized for 29 days and ...",No,2005-03-01,FDA-27077,4.41,0.98,21,26.39,2009-06-08,2010-06-01,2031-06-01,43,AstraZeneca,77,Kenya,39.33333333,62,29,8,59,48,30,45,2,0,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
Acetaminophen,Product Alpha,Drug,Malaria,Malaria,Phase 2,2022-12-02,"Sex: ALL; Age: >2 Years; Criteria: Inclusion Criteria:

* Evidence of Plasmodium falciparum malaria infection by peripheral blood smear or rapid diagnostic test
* Central nervous system (CNS) symptoms associated with malaria. CEREBRAL ...",Yes,2023-01-29,FDA-85841,4.41,0.98,21,26.39,2027-04-30,2028-04-22,2049-04-22,76,Novartis,78,Kenya,44.83333333,98,18,66,34,53,0,64,1,4,2,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
Ibuprofen,AltName A,Drug,Malaria,Malaria,Phase 2,2022-12-02,"Sex: ALL; Age: >2 Years; Criteria: Inclusion Criteria:

* Evidence of Plasmodium falciparum malaria infection by peripheral blood smear or rapid diagnostic test
* Central nervous system (CNS) symptoms associated with malaria. CEREBRAL ...",Yes,2023-04-15,FDA-61406,4.41,0.98,21,26.39,2027-04-30,2028-04-22,2049-04-22,28,AstraZeneca,35,Senegal,40.33333333,78,37,25,81,17,4,64,0,3,4,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
placebo for acetaminophen,Product Alpha,Drug,Malaria,Malaria,Phase 2,2022-12-02,"Sex: ALL; Age: >2 Years; Criteria: Inclusion Criteria:

* Evidence of Plasmodium falciparum malaria infection by peripheral blood smear or rapid diagnostic test
* Central nervous system (CNS) symptoms associated with malaria. CEREBRAL ...",Yes,2023-10-01,FDA-35005,4.41,0.98,21,26.39,2027-04-30,2028-04-22,2049-04-22,35,Novartis,97,Senegal,40,41,29,87,14,68,1,36,1,0,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
placebo for ibuprofen,TradeName X,Drug,Malaria,Malaria,Phase 2,2022-12-02,"Sex: ALL; Age: >2 Years; Criteria: Inclusion Criteria:

* Evidence of Plasmodium falciparum malaria infection by peripheral blood smear or rapid diagnostic test
* Central nervous system (CNS) symptoms associated with malaria. CEREBRAL ...",Yes,2023-04-05,FDA-39462,4.41,0.98,21,26.39,2027-04-30,2028-04-22,2049-04-22,17,GSK,26,Senegal,33,19,13,59,39,10,58,45,1,2,2,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"RTS,S/AS02D",TradeName X,Biological,Malaria,Malaria,Phase 2,2007-12-27,"Sex: ALL; Age: >6 Weeks; Criteria: Inclusion Criteria:

* A male or female infant of between 6 and 12 weeks of age at the time of first vaccination.
* Written informed consent obtained from the parent(s) or guardian(s) of the subject
*...",Yes,2008-05-16,FDA-83144,4.41,0.98,21,26.39,2012-05-24,2013-05-17,2034-05-17,60,AstraZeneca,89,Senegal,39.16666667,83,10,73,3,56,10,45,0,3,2,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
Stamarilª,Product Alpha,Biological,Malaria,Malaria,Phase 2,2009-10-07,"Sex: ALL; Age: >6 Weeks; Criteria: Inclusion Criteria:

* A male or female infant between 6 and 10 weeks of age at the time of first vaccination.
* Signed or thumb-printed informed consent obtained from the parent(s)/guardian(s) of the...",Yes,2010-07-04,FDA-60434,4.41,0.98,21,26.39,2014-03-05,2015-02-26,2036-02-26,87,Pfizer,71,Kenya,40.83333333,48,78,93,4,2,20,82,0,5,4,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
M5717 330 mg,Comp Beta,Drug,Malaria,Malaria,Phase 2,2024-05-28,"Sex: ALL; Age: >12 Years; Criteria: Inclusion Criteria:

* Participants with microscopic confirmation of acute uncomplicated Plasmodium falciparum using Giemsa-stained thick and thin film
* P. falciparum parasitemia of 1,000 to 50,000 a...",No,2024-08-08,FDA-74209,4.41,0.98,21,26.39,2028-10-24,2029-10-17,2050-10-17,70,AstraZeneca,74,Overall,48.16666667,40,69,10,80,37,53,27,1,0,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Tritanrix HepB Hib,Product Alpha,Biological,Malaria,Malaria,Phase 2,2014-12-23,"Sex: ALL; Age: >1 Day; Criteria: Inclusion Criteria:

All subjects must satisfy the following criteria at study entry:

* A male or female infant between 1 and 7 days (inclusive) of age (where day 1 is day of birth).
* Signed or thum...",No,2015-11-07,FDA-92173,4.41,0.98,21,26.39,2019-05-21,2020-05-13,2041-05-13,98,J&J,80,South Africa,24.16666667,61,15,3,53,11,2,45,1,3,1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Abhayrab rabies vaccine,TradeName X,Biological,Malaria,Malaria,Phase 2,2022-08-17,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Provision of signed or thumb printed and dated informed consent form
* Stated willingness to comply with all study procedures and availability for the duration of the study
* Ma...",No,2023-08-05,FDA-27870,4.41,0.98,21,26.39,2027-01-13,2028-01-06,2049-01-05,70,Merck,29,South Africa,65.5,47,99,85,13,63,86,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Engerix-B,Product Alpha,Biological,Malaria,Malaria,Phase 2,2014-12-23,"Sex: ALL; Age: >1 Day; Criteria: Inclusion Criteria:

All subjects must satisfy the following criteria at study entry:

* A male or female infant between 1 and 7 days (inclusive) of age (where day 1 is day of birth).
* Signed or thum...",No,2015-07-21,FDA-58442,4.41,0.98,21,26.39,2019-05-21,2020-05-13,2041-05-13,92,GSK,49,Kenya,46.66666667,10,71,75,96,9,19,36,1,2,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
AQ-13 Treatment,Molecule Z,Drug,Malaria,Malaria,Phase 2,2017-02-01,"Sex: MALE; Age: >18 Years; Criteria: Inclusion Criteria

1. Adult Malian males ³ 18 years of age,
2. Uncomplicated malaria with ³ 2,000 asexual P. falciparum parasites per ul, and
3. Informed consent obtained and signed.

Exclusion Crite...",No,2017-11-08,FDA-13275,4.41,0.98,21,26.39,2021-06-30,2022-06-23,2043-06-23,45,GSK,69,South Africa,49.83333333,53,29,50,43,69,55,36,1,1,2,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
